PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE
456,,,64.1034,-192.1811,293.4942,1,,,
457,,,63.7833,-191.4967,292.6524,1,,,
458,,,63.5164,-190.7756,291.7541,1,,,
459,,,63.284,-190.0599,290.8928,1,,,
460,,,63.0318,-189.3516,290.0395,1,,,
461,,,62.7721,-188.6266,289.142,1,,,
462,,,62.5141,-187.9115,288.2649,1,,,
463,,,62.2388,-187.2049,287.3853,1,,,
464,,,61.9512,-186.4827,286.4826,1,,,
465,,,61.6696,-185.7633,285.5777,1,,,
466,,,61.4327,-185.0431,284.696,1,,,
467,,,61.1676,-184.3294,283.8201,1,,,
468,,,60.8568,-183.6004,282.9037,1,,,
469,,,60.546,-182.8663,281.984,1,,,
470,,,60.2744,-182.1248,281.0709,1,,,
471,,,60.0479,-181.4015,280.1855,1,,,
472,,,59.7797,-180.6823,279.2846,1,,,
473,,,59.4734,-179.9278,278.3589,1,,,
474,,,59.1938,-179.1495,277.4532,1,,,
475,,,58.9076,-178.4266,276.5159,1,,,
476,,,58.6359,-177.6882,275.5932,1,,,
477,,,58.3684,-176.9311,274.7039,1,,,
478,,,58.1131,-176.1975,273.8235,1,,,
479,,,57.8647,-175.5097,272.9456,1,,,
480,,,57.6241,-174.8276,272.0598,1,,,
481,,,57.3008,-174.0739,271.1747,1,,,
482,,,57.062,-173.3426,270.3143,1,,,
483,,,56.8388,-172.7084,269.4388,1,,,
484,,,56.6588,-172.0732,268.5943,1,,,
485,,,56.4111,-171.4114,267.7903,1,,,
486,,,56.1819,-170.7346,267.0049,1,,,
487,,,55.9418,-170.1065,266.2247,1,,,
488,,,55.6469,-169.2367,265.1249,1,,,
489,,,55.3541,-168.4246,264.1186,1,,,
490,,,55.0889,-167.657,263.1738,1,,,
491,,,54.8509,-166.9818,262.3339,1,,,
492,,,54.5858,-166.1705,261.3432,1,,,
493,,,54.3602,-165.5141,260.5385,1,,,
494,,,54.129,-164.875,259.7294,1,,,
495,,,53.9044,-164.1994,258.9358,1,,,
496,,,53.6311,-163.5079,258.1074,1,,,
497,,,53.4165,-162.8347,257.2821,1,,,
498,,,53.1505,-162.0242,256.2955,1,,,
499,,,52.8561,-161.1751,255.3044,1,,,
500,,,52.5622,-160.4635,254.4243,1,,,
501,,,52.2979,-159.6594,253.4379,1,,,
502,,,52.021,-158.8167,252.3919,1,,,
503,,,51.7303,-157.9006,251.2681,1,,,
504,,,51.4037,-156.9408,250.1034,1,,,
505,,,51.2195,-156.2958,249.2833,1,,,
506,,,50.99,-155.5924,248.4279,1,,,
507,,,50.6981,-154.853,247.5866,1,,,
508,,,50.4517,-154.1553,246.7289,1,,,
509,,,50.2837,-153.4123,245.8192,1,,,
510,,,50.0189,-152.6641,244.9001,1,,,
511,,,49.7581,-151.8998,243.9652,1,,,
512,,,49.5062,-151.0928,243.0143,1,,,
513,,,49.2292,-150.2937,242.0613,1,,,
514,,,48.9591,-149.4887,241.0933,1,,,
515,,,48.6842,-148.6668,240.1033,1,,,
516,,,48.4335,-147.8245,239.1078,1,,,
517,,,48.1578,-146.9724,238.0753,1,,,
518,,,47.8873,-146.0747,237.0195,1,,,
519,,,47.5911,-145.2144,235.9906,1,,,
520,,,47.3283,-144.3631,234.9769,1,,,
521,,,47.0665,-143.4918,233.9348,1,,,
522,,,46.8,-142.6222,232.884,1,,,
523,,,46.5183,-141.7558,231.858,1,,,
524,,,46.2465,-140.9087,230.8409,1,,,
525,,,45.9831,-140.0857,229.8577,1,,,
526,,,45.7393,-139.228,228.8624,1,,,
527,,,45.4614,-138.3646,227.8257,1,,,
528,,,45.18,-137.4836,226.7628,1,,,
529,,,44.9161,-136.6027,225.7121,1,,,
530,,,44.6343,-135.7342,224.6678,1,,,
531,,,44.346,-134.8544,223.6079,1,,,
532,,,44.0794,-133.975,222.5338,1,,,
533,,,43.8223,-133.0677,221.435,1,,,
534,,,43.5342,-132.1785,220.3405,1,,,
535,,,43.2696,-131.2976,219.2648,1,,,
536,,,43.0002,-130.4056,218.1741,1,,,
537,,,42.7282,-129.5029,217.0617,1,,,
538,,,42.4619,-128.5951,215.9622,1,,,
539,,,42.2105,-127.6848,214.8635,1,,,
540,,,41.9282,-126.7778,213.7494,1,,,
541,,,41.6468,-125.8353,212.6359,1,,,
542,,,41.3748,-124.8995,211.508,1,,,
543,,,41.0985,-123.9509,210.3741,1,,,
544,,,40.8356,-123.0149,209.2655,1,,,
545,,,40.5736,-122.0804,208.1475,1,,,
546,,,40.2896,-121.1014,206.9411,1,,,
547,,,39.9888,-120.0992,205.7528,1,,,
548,,,39.7092,-119.1418,204.6114,1,,,
549,,,39.4474,-118.2007,203.4819,1,,,
550,,,39.1886,-117.2427,202.3303,1,,,
551,,,38.9192,-116.2826,201.1812,1,,,
552,,,38.6606,-115.3483,200.0578,1,,,
553,,,38.3825,-114.4028,198.9325,1,,,
554,,,38.1008,-113.4572,197.7858,1,,,
555,,,37.8129,-112.5148,196.6442,1,,,
556,,,37.5516,-111.5625,195.5097,1,,,
557,,,37.2969,-110.6044,194.3846,1,,,
558,,,37.0318,-109.64,193.2447,1,,,
559,,,36.7669,-108.6943,192.0989,1,,,
560,,,36.4933,-107.7355,190.9671,1,,,
